name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug
Middlebury College,94%,"$55,100 USD",8:1,50%,"$20,197 USD",31,17.4%,2090,"Middlebury, Vermont",2090,"2,558",4335,Middlebury-College
University of Michigan-Ann Arbor,90%,"$57,400 USD",12:1,61%,"$15,757 USD",32,26.3%,2080,"Ann Arbor, Michigan",2080,"43,651",2086,University-of-Michigan-Ann-Arbor
Davidson College,92%,"$51,800 USD",10:1,70%,"$22,865 USD",33,22.1%,2015,"Davidson, North Carolina",2015,"1,784",3052,Davidson-College
Vassar College,94%,"$49,300 USD",8:1,71%,"$21,265 USD",34,25.7%,2115,"Poughkeepsie, New York",2115,"2,435",3002,Vassar-College
University of Virginia-Main Campus,93%,"$60,100 USD",15:1,57%,"$14,539 USD",35,29.8%,2025,"Charlottesville, Virginia",2025,"23,883",4437,University-of-Virginia-Main-Campus
Boston College,91%,"$66,700 USD",14:1,55%,"$26,284 USD",36,28.5%,2050,"Chestnut Hill, Massachusetts",2050,"14,354",1893,Boston-College
University of California-Los Angeles,90%,"$59,600 USD",16:1,65%,"$13,816 USD",37,17.3%,1985,"Los Angeles, California",1985,"41,908",273,University-of-California-Los-Angeles
Colby College,93%,"$52,300 USD",10:1,45%,"$18,908 USD",38,22.5%,2045,"Waterville, Maine",2045,"1,857",1776,Colby-College
University of North Carolina at Chapel Hill,90%,"$51,000 USD",14:1,66%,"$10,785 USD",39,30.5%,1970,"Chapel Hill, North Carolina",1970,"29,084",3104,University-of-North-Carolina-at-Chapel-Hill
Emory University,91%,"$59,400 USD",8:1,51%,"$25,928 USD",40,23.7%,2065,"Atlanta, Georgia",2065,"13,788",1016,Emory-University
College of William and Mary,90%,"$55,000 USD",12:1,54%,"$14,310 USD",41,34.5%,2030,"Williamsburg, Virginia",2030,"8,484",4356,College-of-William-and-Mary
Wellesley College,91%,"$56,500 USD",7:1,65%,"$22,138 USD",42,29.9%,2090,"Wellesley, Massachusetts",2090,"2,510",2007,Wellesley-College
Carleton College,92%,"$49,500 USD",9:1,77%,"$31,568 USD",43,20.6%,2125,"Northfield, Minnesota",2125,"2,014",2150,Carleton-College
Colgate University,91%,"$60,300 USD",9:1,51%,"$21,741 USD",44,27.4%,2025,"Hamilton, New York",2025,"2,861",2738,Colgate-University
Franklin W Olin College of Engineering,99%,,8:1,100%,"$32,734 USD",45,11.0%,2245,"Needham, Massachusetts",2245,370,6304,Franklin-W-Olin-College-of-Engineering
University of Richmond,85%,"$59,900 USD",8:1,67%,"$21,744 USD",46,31.1%,1975,"University Of Richmond, Virginia",1975,"4,181",4417,University-of-Richmond
United States Merchant Marine Academy,77%,"$82,000 USD",13:1,16%,"$4,701 USD",47,21.7%,1830,"Kings Point, New York",1830,930,2998,United-States-Merchant-Marine-Academy
Bowdoin College,93%,"$55,300 USD",9:1,47%,"$23,156 USD",48,14.9%,2165,"Brunswick, Maine",2165,"1,799",1772,Bowdoin-College
University of Southern California,91%,"$67,700 USD",9:1,61%,"$31,384 USD",49,17.7%,2085,"Los Angeles, California",2085,"43,401",615,University-of-Southern-California
Lafayette College,88%,"$68,800 USD",10:1,55%,"$24,993 USD",50,30.2%,1930,"Easton, Pennsylvania",1930,"2,533",3676,Lafayette-College
Babson College,91%,"$86,700 USD",14:1,53%,"$27,597 USD",51,26.3%,1945,"Wellesley, Massachusetts",1945,"3,057",1880,Babson-College
Barnard College,90%,"$56,800 USD",10:1,56%,"$23,741 USD",52,19.6%,2050,"New York, New York",2050,"2,548",2701,Barnard-College
Grinnell College,86%,"$43,100 USD",9:1,92%,"$28,869 USD",53,24.9%,2107,"Grinnell, Iowa",2107,"1,705",1451,Grinnell-College
Hamilton College,93%,"$54,800 USD",9:1,57%,"$21,907 USD",54,24.8%,2085,"Clinton, New York",2085,"1,877",2794,Hamilton-College
Bucknell University,91%,"$69,100 USD",10:1,59%,"$35,677 USD",55,24.8%,1940,"Lewisburg, Pennsylvania",1940,"3,625",3586,Bucknell-University
Carnegie Mellon University,88%,"$76,200 USD",10:1,59%,"$33,657 USD",56,23.7%,2165,"Pittsburgh, Pennsylvania",2165,"12,963",3596,Carnegie-Mellon-University
Lehigh University,86%,"$76,700 USD",10:1,67%,"$27,715 USD",57,30.4%,1987,"Bethlehem, Pennsylvania",1987,"7,054",3686,Lehigh-University
College of the Holy Cross,91%,"$63,100 USD",10:1,69%,"$24,728 USD",58,37.0%,1897,"Worcester, Massachusetts",1897,"2,729",1933,College-of-the-Holy-Cross
Brandeis University,90%,"$56,800 USD",10:1,63%,"$30,383 USD",59,34.0%,2035,"Waltham, Massachusetts",2035,"5,752",1896,Brandeis-University
Georgia Institute of Technology-Main Campus,82%,"$74,500 USD",19:1,77%,"$12,736 USD",60,32.2%,2090,"Atlanta, Georgia",2090,"25,034",1020,Georgia-Institute-of-Technology-Main-Campus
Bates College,93%,"$51,600 USD",10:1,47%,"$24,956 USD",61,21.8%,2032,"Lewiston, Maine",2032,"1,792",1770,Bates-College
Kenyon College,89%,"$44,700 USD",10:1,61%,"$28,253 USD",62,25.6%,2000,"Gambier, Ohio",2000,"1,711",3295,Kenyon-College
Bryn Mawr College,84%,"$53,600 USD",8:1,75%,"$32,630 USD",63,38.5%,2030,"Bryn Mawr, Pennsylvania",2030,"1,692",3585,Bryn-Mawr-College
Villanova University,90%,"$73,900 USD",12:1,64%,"$31,668 USD",64,47.9%,1940,"Villanova, Pennsylvania",1940,"10,711",3829,Villanova-University
Macalester College,87%,"$46,500 USD",10:1,87%,"$28,009 USD",65,39.0%,2030,"Saint Paul, Minnesota",2030,"2,172",2172,Macalester-College
University of California-San Diego,86%,"$59,000 USD",19:1,64%,"$14,933 USD",66,33.7%,1990,"La Jolla, California",1990,"32,906",275,University-of-California-San-Diego
University of Florida,87%,"$51,100 USD",20:1,94%,"$14,610 USD",67,47.5%,1880,"Gainesville, Florida",1880,"50,645",860,University-of-Florida
Case Western Reserve University,80%,"$68,600 USD",11:1,86%,"$31,356 USD",68,36.3%,2065,"Cleveland, Ohio",2065,"11,340",3219,Case-Western-Reserve-University
