College Name, Twitter Handle
UPRAGOFICIAL , UPRAGOFICIAL
Pardee RAND , PardeeRAND
Rosalind Franklin U , RFUniversity
Northeast Catholic , Northeast_CC
St.Vincent's College , StVincentsColl
Salus University , SalusUniversity
Piedmont College , PiedmontGA
Notre Dame Seminary , NDS_NOLA
UPR Carolina Informa , UPRCA_Informa
BSC Wauwatosa , BSCWauwatosa
Rush University , RushUniversity
Fort Hays State Univ , FortHaysState
WeArePanhandle , WeArePanhandle
Wentworth Institute , wentworthinst
MayoClinicSOM , MayoClinicSOM
Morton College , MCadvising
Penn State Fayette , psu_fayette
Pitt-Greensburg , Pitt_Greensburg
Palo Alto University , LifeAtPAU
MACU , MAChristianUniv
PillarCollege , PillarCollege
SanJoseCityCollege , OfficialSJCC
Jefferson , JeffersonUniv
Texas Gulf Coast CCC , TexasGulfCCCC
UPR Humacao , UPRHComunica
WhereSuccessStarts , pccc_edu
Penn State Mont Alto , montaltopsu
Trinity College FL , trincollegefl
CCD City Hawks , IAMCCD1
HCC Coleman College , HCCColeman
Oakwood University , OakwoodU
CC of Spokane , CCofSpokane
Trinity Lutheran , TLS_Ohio
Suffolk Community College , SUNYSFLK
University System MD , Univ_System_MD
Norwalk Comm College , NewsNCC
4CD Live , 4CDLive
Pentecostal Seminary , PentecostalTS
Norco College , NorcoCollege
MontserratCollegeArt , MontCollegeArt
College of Desert  , CODBoard
MPCC.edu , MPCCedu
Regis , RegisCollege_MA
TCC Chesapeake , TCCChesapeake
St. Charles Seminary , StCharlesSem
MC Germantown Campus , MC_Germantown
Guttman CC|CUNY , guttmancc
SoutheasternOklahoma , SE1909
FelicianUniversity , FelicianUniv
GCSC , GCSC1957
North Greenville , ngucrusaders
BHCC Boston , BHCCBoston
Webber , Webber_edu
Southwest Campus , Southwest_JCTC
Shelby Co. Campus , ShelbyCo_JCTC
Yavapai College , YavapaiCollege
Delgado CC West Bank , DelgadoWB
OlneyCentralCollege , OlneyCentral
Richmond Comm Coll , Richmond_CC
Stark State College , TheStarkState
PRCC Wildcats , PRCC_Wildcats
UNT Dallas , UNTDallas
South Georgia State , southGAstate
Northern NM College , NorthernNNMC
NGS , NGSedu
Cerro Coso Com. Col. , cerrocosocoyote
PennStateDuBois , PennStateDuBois
BlueMountainCollege , tweetbmc
WFDDrakeState , WFDDrakeState
WETCC , WetccEdu
Bay Mills , BayMillsEDU
UVI , UVI_edu
STLCC-FV , STLCCFV
Southern Oregon Univ , SOUAshland
Touro California , TouroCalifornia
NC CommunityColleges , NCCommColleges
SUNY Columbia-Greene , ColGreeneCC
Kenrick-Glennon Sem , KenrickGlennon
Mendocino College , MendocinoEagles
Barclay College , BarclayCollege
SVC , SoVtCollege
Evangel Undergrad , EUndergrad
WSCC , wscctweets
SAC , SACChicago
CCAC , CCAC
Icahn School of Medicine at Mount Sinai , IcahnMountSinai
Southern Utah University , SUUtbirds
Clarkson Univ. CRC , ClarksonCRC
Reinhardt University , Reinhardt_Univ
LSC-University Park , LSC_UP
St Joseph's Seminary , sjsdunwoodie
UofM Duluth , UMNDuluth
WGU Tennessee , WGUTennessee
WGU Missouri , WGUMissouri
SaintPaulSchTheology , spst
Presentation College , PresentationPC
Beacon College , beacon_college
AACC , AnneArundelCC
Lamar Comm. College , lamarcomcollege
Collin College , collincollege
College of Desert , CollegeofDesert
Anguilla Com College , acceduai
Roxbury CC , SeeRCC
Western State Law , WesternStateLaw
Our Lady of the Lake , TheLakeHealth
SUNY Oneonta , SUNY_Oneonta
UWA Online , UWAOnline
Penn State Shenango , PSU_Shenango
UNC Asheville , UncAvl
LA Southwest College , LASCCampus
JFK University , JFKUniversity
SLCC , southlacc
Minot State , Minotstateu
SVD vocations , DWCiowa
NLU , NationalLouisU
U of South Alabama , UofSouthAlabama
Brevard College , BrevardCollege
Samuel Merritt University , SamuelMerrittU
NCCC - North Country , NorthCountryCC
UWyo News , UWyonews
TiffinU , TiffinU
FGCU , fgcu
MidwesternUniversity , MidwesternUniv
CMCC , CMCCMaine
Wartburg Seminary , WartburgSem
HopkinsvilleCC , HopkinsvilleCC
IYRSedu , IYRSedu
MiSPP , misppedu
Muskingum Admission , MuskieAdmission
FPCC , fpcc_edu
Pacifica Graduate , PacificaPost
Memphis Seminary , MemphisSeminary
Seton Hill U. , setonhill
Clark Atlanta Univ. , CAU
MCLA , MCLA_EDU
Anna Maria College , goannamaria
Stanly Comm. College , StanlyCC
Knox College , KnoxCollege1837
PA College , PAHealthSciEDU
USW , USW_HobbsNM
Scripps Research , scrippsresearch
Mount Ida College , MountIdaCollege
Roanoke-ChowanCC , RoanokeChowanCC
Pine Manor College , PineManorMA
TSU Global Campus , TSUGlobalCampus
Sofia University USA , SofiauCA
PSU Schuylkill , PennStateSL
Pfeiffer University , Pfeiffer1885
Ellis University , EllisUniv
University of Nebraska-Lincoln , UNLincoln
CUAnschutz , CUAnschutz
Santa Rosa JC , SantaRosaJC
Nebraska Indian CC , NebraskaIndian
AZ Christian Univ , ACUphoenix
MS Univ for Women , MUWedu
GTCC | Guilford Tech , _gtcc
Rockingham CC , RockinghamCC
GardenCityCC , GCCCBroncbuster
CU Boulder , CUBoulder
Concordia College , ConcordiaAL
CCSJ , _CCSJ
Boricua College , BoricuaCollege1
UMES , UMESNews
Central Alabama , CentralAlabama1
Emmaus Bible College , EmmausBibleCo
PennStateWS , PennStateWS
BCCC , bmoreccc
CrowleysRidgeCollege , CRCPioneers
UProvidence , uprovidence
Cascadia College , CascadiaCollege
BPCC , BPCCCavs
CCCTigers , _TigerNation
CCC, NM , ClovisCommunity
MECC , MECCVa
Christ King Seminary , cksedu
Cecil College , CecilCollege
ICO , ICO_Optometry
RiverParishesCC , RiverParishesCC
Moore College of Art , MooreCollegeArt
