name,twitter_handle,twitter_id
UPRAGOFICIAL,UPRAGOFICIAL,2985824679
Pardee RAND,PardeeRAND,2981564518
Rosalind Franklin U,RFUniversity,2980125742
Northeast Catholic,Northeast_CC,2968142896
St.Vincent's College,StVincentsColl,2904230715
Salus University,SalusUniversity,2875290963
Piedmont College,PiedmontGA,2854714032
Notre Dame Seminary,NDS_NOLA,2811981349
UPR Carolina Informa,UPRCA_Informa,2811321748
BSC Wauwatosa,BSCWauwatosa,2805875629
Rush University,RushUniversity,2798137040
Fort Hays State Univ,FortHaysState,2796262618
WeArePanhandle,WeArePanhandle,2774646025
Wentworth Institute,wentworthinst,2746362446
MayoClinicSOM,MayoClinicSOM,2573343979
Morton College,MCadvising,2533062290
Penn State Fayette,psu_fayette,2493269335
Pitt-Greensburg,Pitt_Greensburg,2458389740
Palo Alto University,LifeAtPAU,2446146199
MACU,MAChristianUniv,2433283010
PillarCollege,PillarCollege,2409115814
SanJoseCityCollege,OfficialSJCC,2388010794
Jefferson,JeffersonUniv,2363122872
Texas Gulf Coast CCC,TexasGulfCCCC,2352370724
UPR Humacao,UPRHComunica,2343802782
WhereSuccessStarts,pccc_edu,2340916014
Penn State Mont Alto,montaltopsu,2338423213
Trinity College FL,trincollegefl,2319331332
CCD City Hawks,IAMCCD1,2315645268
HCC Coleman College,HCCColeman,2306788946
Oakwood University,OakwoodU,2282455248
CC of Spokane,CCofSpokane,2273573730
Trinity Lutheran,TLS_Ohio,2273111346
Suffolk Community College,SUNYSFLK,2264470208
University System MD,Univ_System_MD,2250615246
Norwalk Comm College,NewsNCC,2238166291
4CD Live,4CDLive,2232134677
Pentecostal Seminary,PentecostalTS,2232019111
Norco College,NorcoCollege,2180735742
MontserratCollegeArt,MontCollegeArt,2176713109
College of Desert ,CODBoard,2176551643
MPCC.edu,MPCCedu,2176290086
Regis,RegisCollege_MA,2166665227
TCC Chesapeake,TCCChesapeake,2147589120
St. Charles Seminary,StCharlesSem,1964914243
MC Germantown Campus,MC_Germantown,1905409278
Guttman CC|CUNY,guttmancc,1887720595
SoutheasternOklahoma,SE1909,1705814160
FelicianUniversity,FelicianUniv,1702903998
GCSC,GCSC1957,1691221406
North Greenville,ngucrusaders,1673388012
BHCC Boston,BHCCBoston,1668703620
Webber,Webber_edu,1642049281
Southwest Campus,Southwest_JCTC,1633063208
Shelby Co. Campus,ShelbyCo_JCTC,1633055455
Yavapai College,YavapaiCollege,1621341572
Delgado CC West Bank,DelgadoWB,1599161352
OlneyCentralCollege,OlneyCentral,1577780197
Richmond Comm Coll,Richmond_CC,1577681202
Stark State College,TheStarkState,1546393530
PRCC Wildcats,PRCC_Wildcats,1545738194
UNT Dallas,UNTDallas,1527999896
South Georgia State,southGAstate,1525891634
Northern NM College,NorthernNNMC,1516927614
NGS,NGSedu,1514380986
Cerro Coso Com. Col.,cerrocosocoyote,1507403138
PennStateDuBois,PennStateDuBois,1485973315
BlueMountainCollege,tweetbmc,1468001610
WFDDrakeState,WFDDrakeState,1467460231
WETCC,WetccEdu,1465677950
Bay Mills,BayMillsEDU,1465201086
UVI,UVI_edu,1449856494
STLCC-FV,STLCCFV,1418494436
Southern Oregon Univ,SOUAshland,1400213802
Touro California,TouroCalifornia,1392591306
NC CommunityColleges,NCCommColleges,1389506286
SUNY Columbia-Greene,ColGreeneCC,1382131694
