name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug,twitter_id
Argosy University-Tampa,,"$37,000 USD",8:1,,,,,,"Tampa, Florida",,,5819,Argosy-University-Tampa,
Argosy University-The Art Institute of California-Hollywood,20%,"$37,000 USD",16:1,98%,"$27,681 USD",,,,"North Hollywood, California",,,5511,Argosy-University-The-Art-Institute-of-California-Hollywood,
Argosy University-The Art Institute of California-Inland Empire,30%,"$37,000 USD",23:1,99%,"$23,919 USD",,,,"San Bernardino, California",,,6853,Argosy-University-The-Art-Institute-of-California-Inland-Empire,
Argosy University-The Art Institute of California-Los Angeles,25%,"$37,000 USD",20:1,95%,"$27,235 USD",,,,"Santa Monica, California",,,5924,Argosy-University-The-Art-Institute-of-California-Los-Angeles,
Argosy University-The Art Institute of California-Orange County,31%,"$37,000 USD",18:1,96%,"$23,838 USD",,,,"Santa Ana, California",,,6303,Argosy-University-The-Art-Institute-of-California-Orange-County,
Argosy University-The Art Institute of California-Sacramento,50%,"$37,000 USD",16:1,95%,"$25,197 USD",,,,"Sacramento, California",,,6983,Argosy-University-The-Art-Institute-of-California-Sacramento,
Argosy University-The Art Institute of California-San Diego,44%,"$37,000 USD",23:1,95%,"$27,236 USD",,,,"San Diego, California",,,415,Argosy-University-The-Art-Institute-of-California-San-Diego,
Argosy University-The Art Institute of California-San Francisco,37%,"$37,000 USD",15:1,97%,"$27,045 USD",,,1545,"San Francisco, California",1545,,442,Argosy-University-The-Art-Institute-of-California-San-Francisco,
Argosy University-The Art Institute of California-Silicon Valley,,"$37,000 USD",9:1,97%,"$23,095 USD",,,,"Sunnyvale, California",,,7459,Argosy-University-The-Art-Institute-of-California-Silicon-Valley,
Argosy University-Twin Cities,0%,"$37,000 USD",8:1,100%,"$19,248 USD",,,,"Eagan, Minnesota",,,2178,Argosy-University-Twin-Cities,
Argosy University-Washington DC,50%,"$37,000 USD",3:1,50%,"$14,471 USD",,,,"Arlington, Virginia",,,5717,Argosy-University-Washington-DC,
Arizona Christian University,47%,"$33,500 USD",16:1,79%,"$27,417 USD",,51.2%,1509,"Phoenix, Arizona",1509,779,137,Arizona-Christian-University,
Arizona College - Las Vegas,,,,,,,,,"Las Vegas, Nevada",,,36539,Arizona-College-Las-Vegas,
Arizona College-Mesa,,,16:1,100%,"$15,892 USD",,,,"Mesa, Arizona",,,8954,Arizona-College-Mesa,
Arizona State University-Downtown Phoenix,47%,,21:1,97%,"$13,175 USD",,78.5%,1605,"Phoenix, Arizona",1605,"10,952",6880,Arizona-State-University-Downtown-Phoenix,
Arizona State University-Polytechnic,55%,,18:1,94%,"$12,983 USD",,79.5%,1680,"Mesa, Arizona",1680,"4,078",5753,Arizona-State-University-Polytechnic,
Arizona State University-Skysong,,,27:1,80%,"$13,413 USD",,56.3%,1335,"Scottsdale, Arizona",1335,"20,273",8957,Arizona-State-University-Skysong,
Arizona State University-Tempe,59%,"$45,100 USD",23:1,90%,"$12,893 USD",410,82.9%,1725,"Tempe, Arizona",1725,"51,984",86,Arizona-State-University-Tempe,
Arizona State University-West,55%,,12:1,93%,"$10,481 USD",449,75.5%,1612,"Glendale, Arizona",1612,"3,619",5439,Arizona-State-University-West,
Arkansas Baptist College,14%,"$22,000 USD",24:1,96%,"$13,708 USD",,,,"Little Rock, Arkansas",,,146,Arkansas-Baptist-College,
Arkansas State University-Main Campus,36%,"$31,700 USD",17:1,95%,"$11,896 USD",,70.2%,1425,"Jonesboro, Arkansas",1425,"13,410",155,Arkansas-State-University-Main-Campus,
Arkansas Tech University,41%,"$33,800 USD",19:1,96%,"$9,684 USD",,89.1%,1525,"Russellville, Arkansas",1525,"12,054",156,Arkansas-Tech-University,
Arlington Baptist College,33%,"$34,200 USD",12:1,88%,"$15,142 USD",,,,"Arlington, Texas",,,4081,Arlington-Baptist-College,
Armstrong State University,34%,"$38,400 USD",17:1,90%,"$18,633 USD",,73.9%,1500,"Savannah, Georgia",1500,"7,103",982,Armstrong-State-University,
Art Academy of Cincinnati,53%,"$31,500 USD",8:1,100%,"$21,635 USD",,23.0%,1380,"Cincinnati, Ohio",1380,207,3196,Art-Academy-of-Cincinnati,
Art Center College of Design,64%,"$56,100 USD",9:1,72%,"$43,775 USD",,79.5%,,"Pasadena, California",,"2,133",229,Art-Center-College-of-Design,
Asbury University,64%,"$33,600 USD",11:1,99%,"$21,622 USD",437,56.9%,1635,"Wilmore, Kentucky",1635,"1,915",1583,Asbury-University,
Ashford University,21%,"$39,100 USD",13:1,97%,"$16,078 USD",,,1375,"San Diego, California",1375,,8962,Ashford-University,
Ashland University,56%,"$39,000 USD",14:1,99%,"$21,504 USD",,76.7%,1500,"Ashland, Ohio",1500,"5,677",3198,Ashland-University,
Aspen University,,,7:1,,,,,,"Denver, Colorado",,,8052,Aspen-University,
Assumption College,73%,"$53,600 USD",12:1,98%,"$28,431 USD",323,75.7%,1605,"Worcester, Massachusetts",1605,"2,675",1878,Assumption-College,
Atenas College,,"$15,500 USD",27:1,99%,"$5,940 USD",,,,"Manati, Puerto Rico",,,6203,Atenas-College,
Athens State University,,"$39,000 USD",23:1,,,,,,"Athens, Alabama",,,10,Athens-State-University,
Atlanta Metropolitan State College,,"$27,400 USD",18:1,95%,"$4,192 USD",,,1192,"Atlanta, Georgia",1192,,987,Atlanta-Metropolitan-State-College,
Atlantic Institute of Oriental Medicine,,,7:1,,,,,,"Fort Lauderdale, Florida",,,6121,Atlantic-Institute-of-Oriental-Medicine,
Atlantic University College,36%,"$19,400 USD",26:1,89%,"$4,726 USD",,,,"Guaynabo, Puerto Rico",,,4677,Atlantic-University-College,
Atlantis University,,,25:1,57%,"$11,966 USD",,,,"Miami, Florida",,,36519,Atlantis-University,
Auburn University,68%,"$45,700 USD",19:1,75%,"$21,457 USD",443,77.7%,1745,"Auburn, Alabama",1745,"27,287",12,Auburn-University,
Auburn University at Montgomery,27%,"$35,000 USD",16:1,85%,"$13,445 USD",,78.7%,1485,"Montgomery, Alabama",1485,"4,919",11,Auburn-University-at-Montgomery,
